SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN_DIST,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH_DIST,NEAREST_SCH_RANK,YEAR_SOLD,MONTH_SOLD,Price/land
Carlisle,543074.358974359,3.1666666666666665,1.6666666666666667,2.1973684210526314,523.1410256410256,143.48717948717947,1986.051948051948,6348.717948717948,763.1282051282051,6101.0,-31.97886217948718,115.91807429615383,1.0052049522102564,102.0,2018.0641025641025,6.217948717948718,1181.0562221258338
Carmel,615028.8461538461,3.9423076923076925,1.8461538461538463,2.923076923076923,19412.98076923077,226.51923076923077,1977.96,23250.0,10842.307692307691,6076.0,-32.0195461325,116.0923730923077,1.042790557003846,71.0,2008.5384615384614,6.923076923076923,155.95208651797955
Carramar,524224.85576923075,4.0048076923076925,2.0288461538461537,2.252577319587629,808.4471153846154,206.20673076923077,2004.050847457627,28093.26923076923,4071.153846153846,6031.0,-31.707214224134614,115.78815572740385,1.475079920879327,92.0,2018.2932692307693,6.6875,821.8217169304487
Casuarina,615175.6447368421,3.9342105263157894,1.9605263157894737,2.611111111111111,14438.276315789473,216.43421052631578,1993.391304347826,31636.842105263157,3186.842105263158,6167.0,-32.23595238342105,115.87453156578948,3.9976246619473685,,2008.7236842105262,6.065789473684211,54.522682783097395
Caversham,489055.94405594404,3.7552447552447554,1.965034965034965,2.375,1146.5944055944055,177.0909090909091,2006.4098360655737,13860.13986013986,3499.3006993006993,6055.0,-31.867347057692307,115.96605893216783,2.7860675392237764,128.83333333333334,2017.4195804195804,6.594405594405594,922.0975896413477
Champion Lakes,424488.8888888889,3.4962962962962965,1.874074074074074,2.209090909090909,2727.474074074074,187.32592592592593,2008.6666666666667,22089.62962962963,2201.4814814814813,6111.0,-32.11579823081482,115.99098931925926,1.888682561922222,83.75555555555556,2013.4444444444443,6.288888888888889,786.8216921608919
Chidlow,506955.1886792453,3.4716981132075473,1.5754716981132075,2.772727272727273,12956.433962264151,161.11320754716982,1985.234693877551,40171.698113207545,25570.754716981133,6556.0,-31.8518186495283,116.26705189056604,5.259305458971698,105.0,2013.867924528302,7.0754716981132075,136.00196758546832
Churchlands,1313734.8484848484,3.946969696969697,2.340909090909091,2.1338582677165356,860.5151515151515,262.43939393939394,1998.4462809917356,7098.484848484848,3059.848484848485,6018.0,-31.92195858257576,115.79299637424242,0.5980346238636364,35.666666666666664,2016.6439393939395,6.3106060606060606,2524.2860682594846
City Beach,1654765.2692307692,4.0576923076923075,2.2884615384615383,2.493150684931507,860.0384615384615,263.63461538461536,1976.9448275862069,9414.102564102564,5674.358974358975,6015.0,-31.926733750320516,115.76447735320514,2.211094693621795,30.91780821917808,2017.2628205128206,6.378205128205129,2092.4599602589974
Claremont,1282131.5555555555,3.3492063492063493,2.015873015873016,2.2203389830508473,551.5714285714286,192.84126984126985,1980.95,7803.174603174603,610.2698412698413,6010.0,-31.98032056222222,115.78356074126984,0.9665000096095239,6.746031746031746,2018.7777777777778,6.444444444444445,2890.269532095849
