SUBURB,avg(PRICE),avg(LAND_AREA),avg(FLOOR_AREA),avg(PROPERTY_AGE),avg(PRICE/FLOOR($/m2)),avg(PRICE/LAND($/m2)),avg(Land/Floor)
Lynwood,428731.4285714286,663.1714285714286,131.7904761904762,35.35294117647059,3393.5613542356796,876.0578610821088,5.410672297873662
Mahogany Creek,609512.1951219512,4390.195121951219,194.78048780487805,35.575,3336.7910999892197,225.33951095329874,22.816668834756662
Jandabup,1043600.0,27567.6,220.0,27.4,4940.572546680987,43.87033309354928,144.9988866722529
Roleystone,605486.4406779661,5500.177966101695,219.1864406779661,27.205357142857142,2896.503091067502,244.59693487590275,25.412660226198224
Mount Pleasant,1209374.611111111,549.6203703703703,234.41666666666666,28.72222222222222,5561.5359077366475,2291.681317810833,2.652535325332473
O'Connor,552600.0,372.8,150.2,19.0,3801.668004728097,1886.848680879552,2.5433439287664754
Ardross,1072145.3223140496,536.1487603305785,208.6611570247934,25.73913043478261,5515.4975143345,2185.5140199281877,2.928942146465085
Dianella,678584.4594594594,610.2972972972973,207.74324324324326,30.455882352941178,3510.2514143478393,1206.8238836945404,3.3423240920483255
North Fremantle,1223992.957746479,545.0,195.38028169014083,38.03076923076923,6553.975950610014,3426.111905543302,3.081268555619644
Forrestfield,420805.0847457627,841.1610169491526,155.8728813559322,27.23931623931624,2788.208588876211,673.0417233260038,5.392739553082499
Neerabup,1112500.0,29556.5,261.0,28.0,4631.503973609237,42.574479112879644,141.3860398860399
Mount Richon,528050.9917355372,1724.3305785123966,193.6611570247934,25.843478260869563,2912.2003065735507,451.7772065046015,9.255419423573485
Subiaco,1271129.0615384616,432.0153846153846,186.73846153846154,59.75,7096.242634593817,3656.5648982610182,2.8307361809792275
Darling Downs,832555.5555555555,13122.722222222223,239.66666666666666,17.543478260869566,3656.5135942956517,166.53926682702294,61.44033895282892
Samson,598900.6849315069,922.6712328767123,172.3013698630137,33.142857142857146,3583.1432905985985,825.8763627080897,6.164371328396818
Merriwa,333189.2718446602,568.0825242718447,140.05825242718447,17.97029702970297,2458.2897292739153,603.8126020086258,4.212324530117207
Karnup,533065.195652174,11110.95652173913,199.80434782608697,8.5,2807.627577635972,429.69407699496367,56.10488154300417
Karragullen,624107.1428571428,22317.928571428572,198.78571428571428,35.46153846153846,3161.6571073495256,141.22378374605572,76.54890462927452
